date,max_temp,min_temp
2026-07-02,29.5,24.2
2026-07-03,29.0,24.6
2026-07-04,29.4,24.5
2026-07-05,30.0,24.6
2026-07-06,29.8,24.8
2026-07-07,29.4,24.3
2026-07-08,29.2,24.3
2026-07-09,28.4,23.4
